Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
Babar Azam (PAK),2016-2026,145,136,18,4596,122,38.94,3590,128.02,3,39,10,477,80,
RG Sharma (IND),2007-2024,159,151,19,4231,121*,32.05,3003,140.89,5,32,12,383,205,
V Kohli (IND),2010-2024,125,117,31,4188,122*,48.69,3056,137.04,1,38,7,369,124,
JC Buttler (ENG),2011-2026,157,144,23,4037,101*,33.36,2735,147.6,1,28,11,373,175,
PR Stirling (IRE),2009-2026,163,160,12,3895,115*,26.31,2899,134.35,1,24,14,449,141,
MJ Guptill (NZ),2009-2022,122,118,7,3531,105,31.81,2602,135.7,2,20,3,309,173,
Mohammad Rizwan (PAK),2015-2024,106,93,21,3414,104*,47.41,2723,125.37,1,30,5,285,95,
Muhammad Waseem (UAE),2021-2026,99,99,6,3371,112,36.24,2233,150.96,3,26,7,282,196,
Virandeep Singh (MAS),2019-2026,122,114,21,3370,116*,36.23,2639,127.69,1,23,8,294,138,
DA Warner (AUS),2009-2024,110,110,12,3277,100*,33.43,2300,142.47,1,28,6,337,122,
SA Yadav (IND),2021-2026,113,107,17,3272,117,36.35,2008,162.94,4,25,7,297,179,
AJ Finch (AUS),2011-2022,103,103,12,3120,172,34.28,2189,142.53,2,19,8,309,125,
Q de Kock (SA),2012-2026,110,109,9,3095,115,30.95,2176,142.23,2,19,10,313,133,
Sikandar Raza (ZIM),2013-2026,133,128,12,3089,133*,26.62,2256,136.92,1,17,9,239,146,
Syed Aziz (MAS),2019-2026,128,119,19,3027,126,30.27,2163,139.94,1,22,8,266,157,
GJ Maxwell (AUS),2012-2026,130,118,18,2897,145*,28.97,1876,154.42,5,12,5,243,150,
DA Miller (SA/World),2010-2026,140,123,40,2804,106*,33.78,1983,141.4,2,9,3,184,141,
Litton Das (BAN),2015-2026,122,120,5,2702,83,23.49,2131,126.79,0,16,6,263,83,
P Nissanka (SL),2021-2026,94,93,5,2699,107,30.67,2099,128.58,2,19,8,276,78,
BKG Mendis (SL),2016-2026,109,109,6,2694,86,26.15,2069,130.2,0,20,8,241,102,
Babar Hayat (HKG),2014-2026,112,108,17,2642,122,29.03,2007,131.63,2,15,10,159,166,
HG Munsey (SCOT),2015-2026,88,86,5,2598,132,32.07,1805,143.93,3,14,6,278,118,
KS Williamson (NZ),2011-2024,93,90,13,2575,95,33.44,2092,123.08,0,18,4,245,58,
Shakib Al Hasan (BAN),2006-2024,129,127,17,2551,84,23.19,2105,121.18,0,13,9,258,53,
Nizakat Khan (HKG),2014-2026,128,125,9,2545,81,21.93,2091,121.71,0,13,9,211,84,
Karanbir Singh (AUT),2024-2026,60,59,7,2533,164,48.71,1444,175.41,4,20,5,211,207,
Mohammad Hafeez (PAK),2006-2021,119,108,13,2514,99*,26.46,2060,122.03,0,14,7,251,76,
RD Berrington (SCOT),2008-2026,108,99,18,2504,100,30.91,1891,132.41,1,10,10,206,91,
RR Hendricks (SA),2014-2025,90,89,2,2504,117,28.78,1938,129.2,1,18,7,268,70,
Fakhar Zaman (PAK),2017-2026,120,110,6,2494,91,23.98,1882,132.51,0,14,6,233,99,
EJG Morgan (ENG),2009-2022,115,107,21,2458,91,28.58,1805,136.17,0,14,3,186,120,
Mohammad Nabi (AFG),2010-2026,152,140,30,2448,89,22.25,1795,136.37,0,7,9,167,124,
Mahmudullah (BAN),2007-2024,141,130,26,2444,64*,23.5,2082,117.38,0,8,5,184,77,
Shoaib Malik (ICC/PAK),2006-2021,124,111,33,2435,75,31.21,1938,125.64,0,9,2,196,69,
Anshuman Rath (HKG),2015-2026,85,84,10,2394,140*,32.35,1886,126.93,2,12,3,241,57,
A Balbirnie (IRE),2015-2024,110,106,4,2392,83,23.45,1941,123.23,0,12,6,254,68,
MP O'Dowd (NED),2015-2026,91,88,7,2354,133*,29.06,1932,121.84,1,16,2,244,55,
R Powell (WI),2017-2026,120,106,17,2347,107,26.37,1653,141.98,1,10,2,142,156,
MDKJ Perera (SL),2013-2026,95,93,4,2335,101,26.23,1757,132.89,1,16,6,227,72,
K Bhurtel (NEP),2021-2026,80,78,7,2325,129,32.74,1695,137.16,3,15,5,220,111,
MR Marsh (AUS),2011-2026,88,83,14,2313,103*,33.52,1628,142.07,1,14,3,206,117,
HH Pandya (IND),2016-2026,138,109,28,2288,71*,28.24,1568,145.91,0,9,4,168,126,
GD Phillips (NZ),2017-2026,97,85,13,2286,108,31.75,1602,142.69,2,12,3,171,108,
Rahmanullah Gurbaz (AFG),2019-2026,87,87,0,2280,100,26.2,1682,135.55,1,13,10,180,122,
TL Seifert (NZ),2018-2026,90,84,11,2279,97*,31.21,1557,146.37,0,17,5,213,110,
N Pooran (WI),2016-2024,106,97,10,2275,98,26.14,1668,136.39,0,13,3,152,149,
KL Rahul (IND),2016-2022,72,68,8,2265,110*,37.75,1628,139.12,2,22,5,191,99,
DS Airee (NEP),2018-2026,100,86,21,2220,110*,34.15,1590,139.62,1,12,1,159,93,
S Ssesazi (UGA),2021-2024,88,86,10,2204,100*,29.0,1789,123.19,1,17,8,237,73,
MG Erasmus (NAM),2019-2026,88,84,16,2178,100*,32.02,1692,128.72,1,15,3,164,86,
BB McCullum (NZ),2005-2015,71,70,10,2140,123,35.66,1571,136.21,2,13,3,199,91,
Sami Sohail (MWI),2019-2026,70,66,20,2105,96*,45.76,1667,126.27,0,14,4,180,66,
R Sandaruwan (KUW),2019-2026,80,80,3,2094,103,27.19,1436,145.82,2,12,8,181,122,
MS Chapman (HKG/NZ),2014-2026,113,95,15,2074,104*,25.92,1528,135.73,1,10,6,176,83,
AD Hales (ENG),2011-2022,75,75,8,2074,116*,30.95,1499,138.35,1,12,5,225,70,
Mohammad Shahzad (AFG),2010-2023,73,73,3,2048,118*,29.25,1550,132.12,1,12,4,229,76,
BA King (WI),2019-2026,87,85,5,2028,85*,25.35,1525,132.98,0,14,6,213,92,
MD Shanaka (SL),2015-2026,134,121,25,2008,76*,20.91,1549,129.63,0,9,16,136,112,
RR Patel (KENYA),2008-2026,98,84,17,1987,120,29.65,1460,136.09,1,11,4,158,105,
Muhammad Tanveer (QAT),2019-2025,72,66,16,1980,88*,39.6,1484,133.42,0,15,3,143,111,
KJ O'Brien (IRE),2008-2021,110,103,10,1973,124,21.21,1507,130.92,1,5,12,165,82,
AK Markram (SA),2019-2026,77,73,11,1966,86*,31.7,1332,147.59,0,14,2,183,83,
Sohail Ahmed (BHR),2022-2026,79,74,28,1957,80*,42.54,1644,119.03,0,16,6,129,81,
LRPL Taylor (NZ/Samoa),2006-2025,106,97,22,1954,63,26.05,1611,121.29,0,7,6,123,72,
Ahmed Faiz (MAS),2019-2026,106,89,9,1952,105*,24.4,1603,121.77,1,8,6,148,74,
RP Burl (ZIM),2018-2026,118,109,32,1948,67*,25.29,1559,124.95,0,4,5,139,80,
JP Duminy (SA),2007-2019,81,75,25,1934,96*,38.68,1532,126.24,0,11,6,138,71,
TP Ura (PNG),2015-2026,66,65,9,1900,107*,33.92,1211,156.89,2,16,4,139,112,
CH Gayle (WI),2006-2021,79,75,7,1899,117,27.92,1381,137.5,2,14,4,158,124,
HT Tector (IRE),2019-2026,100,92,16,1898,96*,24.97,1561,121.58,0,9,7,158,44,
DJ Malan (ENG),2017-2023,62,60,8,1892,103*,36.38,1428,132.49,1,16,2,194,62,
TM Dilshan (SL),2006-2016,80,79,12,1889,104*,28.19,1567,120.54,1,13,10,223,33,
BJ Bennett (ZIM),2023-2026,58,58,6,1888,111,36.3,1314,143.68,1,12,3,215,58,
DJ Mitchell (NZ),2019-2026,104,90,20,1879,72*,26.84,1337,140.53,0,8,2,129,73,
K Kadowaki-Fleming (JPN),2022-2026,55,54,5,1871,114,38.18,1342,139.41,2,12,1,142,94,
